name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Lurdusaurus,loor-duh-sore-us,'heavy lizard',large ornithopod,9.0m,,herbivorous,,,,"Early Cretaceous, 121-112 million years ago",Niger,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Taquet & Russell ,(1999) ,arenatus,  Lurdusaurus is known from a partial skull and postcranium.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lurdusaurus.jpg
Lycorhinus,liek-oh-rien-us,'wolf snout',small ornithischian,1.2m,,herbivorous,,,,"Late Triassic, 205-195 million years ago",South Africa,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Heterodontosauridae",Haughton ,(1924) ,angustidens,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lycorhinus.jpg
Magyarosaurus,mod-yar-oh-sore-us,'Magyar lizard',sauropod,5.0m,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",Romania,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Nopcsa ,(1915) ,dacus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Magyarosaurus.jpg
Maiasaura,my-ah-SORE-ah,'good mother lizard',large ornithopod,9.0m,2500kg,herbivorous,,,,"Late Cretaceous, 80-75 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Horner and Makela ,(1979) ,peeblesorum,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/maia.jpg
Majungasaurus,mah-joon-gah-sore-us,'Majunga lizard',large theropod,6.0m,,carnivorous,,,,"Late Cretaceous, 84-71 million years ago",Madagascar,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae",Sues & Taquet ,(1979) ,atopus,  Majungasaurus is known from a complete skull and partial skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Majungatholus.jpg
Malawisaurus,mah-lah-wee-sore-us,'Malawi lizard',sauropod,9.0m,,herbivorous,,,,"Early Cretaceous, 121-112 million years ago",Malawi,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Haughton ,(1928) ,dixeyi,"  Skull elements, teeth, vertebrae, limb bones and osteoderms (armour) of several individuals have been found.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Malawisaurus.jpg
Mamenchisaurus,mah-men-chi-sore-us,'Mamenchi lizard',sauropod,22.0m,,herbivorous,,,,"Late Jurassic, 155-145 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Young ,(1954) ,constructus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/mamench.jpg
Mapusaurus,mah-puh-sore-us,"'Earth (Mapuche language, Patagonia) lizard'",large theropod,13.0m,,carnivorous,,,,"Late Cretaceous, 99-94 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae, Charcharodontosauridae, Giganotosaurinae",Coria and Currie ,(2006) ,roseae,"  This dinosaur may have hunted in packs and lived in family groups. Mapusaurus may have been larger than Giganotosaurus, making it the largest meat eating dinosaur found so far.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Mapusaurus.jpg
Marshosaurus,marsh-oh-sore-us,'[Othniel Charles] Marsh lizard',large theropod,6.0m,,carnivorous,,,,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda",Madsen ,(1976) ,bicentesimus,  Marshosaurus is known from a partial skull and postcranium.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Marshosaurus.jpg
Masiakasaurus,mah-shee-ah-kah-sore-us,'vicious lizard',small theropod,2.0m,,carnivorous,,,,"Late Cretaceous, 84-71 million years ago",Madagascar,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria","Sampson, Carrano & Forster ",(2001) ,knopfleri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Masiakasaurus.jpg
Massospondylus,mass-oh-SPON-di-luss,'massive vertebrae',prosauropod,4.0m,70kg,omnivorous,,,,"Early Jurassic, 208-204 million years ago","Lesotho,
						
							South Africa,
						
							Zimbabwe","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Owen ,(1854) ,carinatus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/massospon.jpg
Maxakalisaurus,max-aka-li-sore-us,'Maxakali (tribe of Brazil) lizard',sauropod,13.0m,,herbivorous,,,,"Late Cretaceous, 80 million years ago",Brazil,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae, Saltasaurinae",Kellner et al. ,(2006) ,topai,"  Maxakalisaurus is known from a partial skeleton, including some skull fragments and osteoderms (large skin adornments). Its teeth were ridged, unusual for sauropods. Some of the bones bear teeth marks, suggesting scavenging activity.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Maxakalisaurus.jpg
Megalosaurus,MEG-ah-low-sore-us,'big lizard',large theropod,6.0m,,carnivorous,,,,"Mid Jurassic, 166 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Megalosauridae, Megalosaurinae",Mantell ,(1827) ,bucklandii,"  Megalosaurus was a large, meat-eating dinosaur. It was one of the first dinosaurs ever found and the first named.  When Megalosaurus fossils were first discovered during the seventeenth and eighteenth centuries, nobody knew what a dinosaur was.  From tim",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/megalosaurus.jpg
Melanorosaurus,me-lan-or-oh-sore-us,'Black [Mountain] lizard',prosauropod,12.0m,,omnivorous,,,,"Late Triassic, 227-221 million years ago",South Africa,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Melanorosauridae",Haughton ,(1924) ,readi,  Melanorosaurus is a very early sauropod.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Melanorosaurus.jpg
Metriacantho-saurus,met-ree-a-kan-tho-sore-us,'moderately-spined lizard',large theropod,8.2m,,carnivorous,,,,"Late Jurassic, 159-154 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae",Walker ,(1964) ,parkeri,"  Metriacanthosaurus is known only from a partial postcranial skeleton, so reconstructions are guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Metriacanthosaurus.jpg
Microceratus,mike-row-ker-ah-tuss,'tiny horned',ceratopsian,0.5m,,herbivorous,,,,"Late Cretaceous, 86-66 million years ago","China,
						
							Mongolia","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria",Bohlin ,(1953) ,gobiensis," Microceratops This dinosaur was originally named Microceratops but, 50 years later, scientists realised that the name had already been taken by a species of beetle. So, in 2008, the name was changed to Microceratus.  We don't know how large this dinosaur ",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/microceratus.jpg
Micropachy-cephalosaurus,mike-row-pak-ee-keff-ah-loh-sore-us,'tiny thick-headed lizard',ceratopsian,0.6m,,herbivorous,,,,"Late Cretaceous, 84-71 million years ago",China,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria",Dong ,(1978) ,hongtuyanensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Micropachycephalosaurus.jpg
Microraptor,MIKE-roe-rap-tor,'tiny plunderer',small theropod,0.8m,1kg,carnivorous,"small, sharp, pointed","other animals, including fish, lizards and possibly insects",,"Early Cretaceous, 120 million years ago",China,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Xu, Zhou and Wang ",(2000) ,zhaoianus," Microraptor Microraptor was a very small, feathered dinosaur with wings on its legs as well as its arms. Velociraptor As a member of the dromaeosaur group, it was related to the well-known dinosaur, Velociraptor. Microraptor Of all the dromaeosaurs, we ha",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/microraptor.jpg
Minmi,min-mie,"'named after Minmi Crossing, Queensland'",armoured dinosaur,3.0m,,herbivorous,,,,"Early Cretaceous, 121-112 million years ago",Australia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria",Molnar ,(1980) ,paravertebra,  This dinosaur is known from an almost complete skeleton with armour in place.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Minmi.jpg
Monolopho-saurus,mono-Loh-foh-sore-us,'single-crested lizard',large theropod,5.7m,,carnivorous,,,,"Mid Jurassic, 180-159 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria",Zhao and Currie ,(1993) ,jiangi,"  Monolophosaurus had a long bony crest on its head, perhaps for display.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Monolophosaurus.jpg
Mononykus,mono-Nike-us,'single claw',small theropod,1.0m,,unknown,,,,"Late Cretaceous, 81-68 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae","Perle, Norell, Chiappe and Clark ",(1993) ,olecranus,  Mononykus is known from partial skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Mononykus.jpg
Mussaurus,moos-SORE-us,'mouse lizard',prosauropod,3.0m,,herbivorous,,,,"Late Triassic, 221-210 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Bonaparte and Vince ,(1979) ,patagonicus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/muss.jpg
Muttaburra-saurus,MUT-a-BURR-a-SORE-us,'Muttaburra lizard',large ornithopod,7.0m,,herbivorous,,,,"Early Cretaceous, 110-100 million years ago",Australia,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Bartholomai and Molnar ,(1981) ,langdoni,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/muttab.jpg
Nanshiungo-saurus,nahn-shyung-oh-sore-us,'Nanxiong lizard',large theropod,4.4m,,omnivorous,,,,"Late Cretaceous, 84-71 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Dong ,(1979) ,brevispinus,"  Only the vertebral column and pelvis of Nanshiungosaurus have been found, no skull. So the shape of the head in reconstructions is based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nanshiungosaurus.jpg
Nedoceratops,ned-o-ker-ah-tops,'insufficient horned face',ceratopsian,7.0m,,herbivorous,,,,"Late Cretaceous, 66 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Lull ,(1905) ,hatcheri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Diceratops.jpg
Nemegtosaurus,Nem-egg-tow-sore-us,'Nemegt lizard',sauropod,13.0m,,herbivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Nemegtosauridae",Nowinski ,(1971) ,mongoliensis,"  Nemegtosaurus is only known from a skull and mandible (lower jawbone), so reconstructions are speculative.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nemegtosaurus.jpg
Neovenator,nee-oh-ve-nay-tor,'new hunter',large theropod,7.4m,,carnivorous,,,,"Early Cretaceous, 127-121 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae","Hutt, Martill and Barker ",(1996) ,salerii,  Neovenator is known from a partial skull and skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Neovenator.jpg
Neuquensaurus,nayoo-ken-sore-us,'Neuquen (River) lizard',sauropod,15.0m,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae",Lydekker ,(1893) ,australis," Neuquensaurus Neuquensaurus was a relatively small sauropod. It had hardened, bone-like, raised scales on its back, which would have acted as protective armour. This was quite unusual for a sauropod, but some of its closest relatives - such as Antarctosau",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Neuquenosaurus.jpg
Nigersaurus,nee-zhayr-sore-us,'Niger lizard',sauropod,15.0m,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago","Algeria,
						
							Niger,
						
							Tunisia","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Rebbachisauridae","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson & Wilson ",(1999) ,taqueti,  A partial Nigersaurus skull and numerous postcranial bones have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nigersaurus.jpg
Nipponosaurus,nip-on-oh-sore-us,'Japanese lizard',large ornithopod,,,herbivorous,,,,"Late Cretaceous, 89-84 million years ago",Russia,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Nagao ,(1936) ,sachalinensis,  Our knowledge of Nipponosaurus is based on a partial skull and postcranial of a juvenile.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nipponosaurus.jpg
Noasaurus,noh-ah-sore-us,'northwestern Argentina lizard',small theropod,1.0m,,carnivorous,,,,"Late Cretaceous, 84-66 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria",Bonaparte and Powell ,(1980) ,leali,  A skull and some postcranial remains of Noasaurus have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Noasaurus.jpg
Nodosaurus,no-doh-SORE-us,'node lizard',armoured dinosaur,5.0m,,herbivorous,,,,"Early Cretaceous, 110-100 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae",Marsh ,(1889) ,textilis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/nodo.jpg
Nomingia,noh-ming-ee-uh,'Nomingiin',small theropod,1.6m,,omnivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Caenagnathidae","Barsbold, OsmÃÂ³lska, Watabe, Currie and Tsogtbaatar ",(2000) ,gobiensis,"  Nomingia is known from a partial postcranium. The skull has not been found, so this is reconstructed from similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nomingia.jpg
Nothronychus,noh-thron-i-kus,'sloth-like claw',large theropod,5.3m,,omnivorous,,,,"Late Cretaceous, 94-89 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Kirkland and Wolfe ,(2001) ,mckinleyi,  A partial skull and postcranium of Nothronychus have been found. This odd dinosaur may even have evolved from a carnivore to a herbivore.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nothronychus.jpg
Nqwebasaurus,n-qu-web-ah-sore-us,'Nqweba lizard',small theropod,1.0m,,carnivorous,,,,"Mid Jurassic, 159-132 million years ago",South Africa,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria","de Klerk, Forster, Sampson, Chinsamy and Ross ",(2000) ,thwazi,"  Nqwebasaurus is known from a partial skeleton lacking the skull, so the shape of the head is based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nqwebasaurus.jpg
Omeisaurus,oh-mee-sore-us,'Omei lizard',sauropod,20.0m,,herbivorous,,,,"Mid Jurassic, 169-159 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Young ,(1939) ,junghsiensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Omeisaurus.jpg
Opisthocoeli-caudia,o-pis-tho-seel-i-cawd-ee-a,'hollow-backed tail [vertebrae]',sauropod,12.0m,,herbivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae",Borsuk-Bialynicka ,(1977) ,skarzynskii,"  Opisthocoelicaudia is known from a skeleton that lacks the skull and neck, so their reconstruction is based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Opisthocoelicaudia.jpg
Ornitholestes,Or-nith-oh-LES-teez,'bird robber',small theropod,2.0m,,carnivorous,,,,"Late Jurassic, 150-144 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria",Osbourne ,(1933) ,hermanni,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithol.jpg
Ornithomimus,orn-ITH-oh-MEE-mus,'bird mimic',large theropod,4.0m,,omnivorous,,,,"Late Cretaceous, 74-66 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae",Marsh ,(1890) ,velox,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithom.jpg
Orodromeus,or-oh-DROM-ee-us,'mountain runner',small ornithopod,2.0m,50kg,herbivorous,"horny beak, grinding cheek teeth",tough plant material,on 2 legs,"Late Cretaceous, 74 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Horner and Weishampel ,(1988) ,makelai,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/orodro.jpg
Oryctodromeus,or-ik-tow-drohm-ee-us,'digging runner',small ornithopod,2.1m,,herbivorous,,,,"Late Cretaceous, 99-94 million years ago",USA,"Dinosauria, Ornithischia","Varricchio, Marin and Katsura ",(2007) ,cubicularis,"  Remains of this dinosaur were found in its burrow, along with the remains of 2 juveniles. The burrow was around 30cm wide and 70cm long.  The holotype adult specimen (the specimen that was first used to describe the species) consists of skull bones, vert",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/oryctodromeus.jpg
Othnielia,oth-ni-ee-lee-a,'[for] Othniel [Marsh]',small ornithischian,1.4m,,herbivorous,,,,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Marsh ,(1877) ,rex,  Only partial skeletons of Othnielia have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Othnielia.jpg
Ouranosaurus,oo-RAH-noh-sore-us,'brave monitor lizard',large ornithopod,7.0m,,herbivorous,,,,"Early Cretaceous, 115-100 million years ago",Niger,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Taquet ,(1976) ,nigeriensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ourano.jpg
Oviraptor,OH-vee-RAP-tor,'egg thief',small theropod,2.0m,20kg,omnivorous,"beak, no teeth","hard fruits, eggs, and possibly shellfish",on 2 legs,"Late Cretaceous, 85-75 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Oviraptorinae",Osborn ,(1924) ,philoceratops,"  The curved upper and lower jaws of Oviraptor would have been able to crush even hard objects. This dinosaur may have eaten eggs, or fed on fish and shellfish.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/oviraps.jpg
Pachycephalo-saurus,pack-ee-KEF-ah-lo-sore-us,'thick-headed lizard',pachycephalosaur,3.0m,450kg,herbivorous,flat-curved and serrated teeth,plant material,on 2 legs,"Late Cretaceous, 69-66 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae",Brown and Schlaikjer ,(1943) ,wyomingensis,"  Pachycephalosaurus was an unusual-looking dinosaur. It stood on two legs, had a beak for cropping plants and had a large bony dome on its head surrounded by spikes and bumps.  Some scientists think that the animal used its hard dome in head-butting conte",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pachycephalosaurus.jpg
Pachyrhino-saurus,pack-ee-RINE-oh-sore-us,'thick-nosed lizard',ceratopsian,6.0m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sternberg ,(1950) ,canadensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pachyr.jpg
Panoplosaurus,pan-op-loh-sore-us,'fully-armoured lizard',armoured dinosaur,7.0m,,herbivorous,,,,"Late Cretaceous, 79-75 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae",Lambe ,(1919) ,mirus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Panoplosaurus.jpg
Pantydraco,pant-ee-drak-oh,'Pant-y-ffynnon dragon',prosauropod,3.0m,,herbivorous,,,,Early Jurassic,"United Kingdom,
						
							Wales","Dinosauria, Saurischia","Galton, Yates and Kermack ",2007 (2003) ,caducus,  Knowledge about Pantydraco is based on a partial juvenile skeleton which was previously thought to be a Thecodontosaurus.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pantydraco.jpg
Paralititan,pa-ral-ee-tie-tan,'tidal giant',sauropod,28.0m,,herbivorous,,,,"Late Cretaceous, 99-94 million years ago",Egypt,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Smith, Lamanna, Lacovara, Dodson, Smith, Poole, Giegengack and Attia ",(2001) ,stromeri,"  A partial postcranial skeleton of Paralititan has been found, but no skull, so reconstructions of the shape of the head are based on similar dinosaurs. The remains were found in a fossil mangrove swamp.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Paralititan.jpg
Parasaurolophus,pa-ra-saw-ROL-off-us,'like 'Saurolophus'',large ornithopod,9.0m,5000kg,herbivorous,beak and toothed jaws,"pine needles, tree leaves",on 2 or 4 legs,"Late Cretaceous, 77-73 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Parks ,(1922) ,walkeri," Parasaurolophus Parasaurolophus was a duck-billed dinosaur with a long, distinctive head crest. It lived in what is now North America during the Late Cretaceous Period. Parasaurolophus Over the years, experts have gone back and forth as to whether Parasau",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/parasaurolophus.jpg
Parksosaurus,PARKS-oh-SORE-us,'Park's lizard',small ornithopod,3.0m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Sternberg ,(1937) ,warrenae,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/parkso.jpg
Patagosaurus,pat-ag-oh-sore-us,'Patagonian lizard',sauropod,18.0m,,herbivorous,,,,"Mid Jurassic, 164-159 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Cetiosauridae",Bonaparte ,(1979) ,fariasi,  Many Patagosaurus skeletons have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Patagosaurus.jpg
Patagotitan,Pat-ah-go-tie-tan,'titan from Patagonia',sauropod,37.5m,57000kg,herbivorous,for stripping vegetation from branches,tough plant material,on four legs,"Early Cretaceous, 101 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Carballido, Pol, Otero, Cerda, Salgado, Garrido, Ramezani, Cuneo and Krause ",(2017) ,mayorum,"  Patagotitan is one of the largest known dinosaurs, making it also one of the largest land animals ever found. It was far longer, almost twice as tall and more than three times heavier than Diplodocus.  Patagotitan is a titanosaur, a type of sauropod. Not",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/patagotitan-mef-c.jpg
